Tabela 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CD_CLI;NR_CTR;VR_CTR;DT_CTR;NR_PARCELA;VR_PARCELA;CODIGO;RATING;MOTIVO;PRODUTO;nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
;1;101;8264;2015-02-09;48;172.17;1;A;LIQUIDADO;EMPRESTIMO;Joaquim Fábio Pedro Ribeiro;33;723104050;169130253;03/09/1989 00:00;Masculino;Peixes;Luciana Sarah;Mateus Renato Ribeiro;joaquim-ribeiro99@spires.com.br;cSgrcbsgef;94460763;Rua Giuseppe Garibaldi;495;São Tomé;Viamão;RS;5129791435;51985818075;1,75;91;O+;amarelo
;2;102;4254;2015-02-09;36;118.17;2;A;LIQUIDADO;EMPRESTIMO;Tiago Victor Yago Caldeira;46;66213768041;169457667;01/11/1976 00:00;Masculino;Capricórnio;Eliane Isabelly;Guilherme Gael Francisco Caldeira;tiago.victor.caldeira@mundivox.com.br;nTZFeU1L9F;96841010;Rua Abrelino Pedroso;837;Santa Vitória;Santa Cruz do Sul;RS;5137538608;51991295869;1,85;96;O-;preto
;3;103;5659;2015-02-09;42;134.74;3;A;LIQUIDADO;EMPRESTIMO;Carlos Francisco Ferreira;58;60409609064;219459629;03/05/1964 00:00;Masculino;Peixes;Ana Tatiane;Bruno Severino Ferreira;carlos_francisco_ferreira@landovale.com.br;17keNhc3j4;96213450;Rua Manoel Nunes Duarte;593;Vila Nossa Senhora de Fátima;Rio Grande;RS;5336896244;53997878962;1,74;107;O-;laranja
;4;104;5477;2015-02-09;42;130.40;4;A;LIQUIDADO;EMPRESTIMO;Ana Tânia Gonçalves;31;83508094006;457190668;03/02/1991 00:00;Feminino;Peixes;Luzia Cristiane Luiza;Raimundo Alexandre Gonçalves;ana.tania.goncalves@regler.com.br;xCQA59EuSn;95375970;Rua Central, s/n;147;Centro;Espigão Alto;RS;5439947391;54994022478;1,59;58;O+;amarelo
;5;105;3290;2015-02-09;24;137.08;5;A;LIQUIDADO;EMPRESTIMO;Clara Giovana Assis;73;60188539069;118000391;01/11/1949 00:00;Feminino;Capricórnio;Sebastiana Laura;Elias Victor Heitor Assis;clara_assis@dcazzainteriores.com.br;imnbobdSgo;94950420;Rua Teresópolis;605;Parque da Matriz;Cachoeirinha;RS;5127288044;51992128335;1,59;54;AB+;azul
;6;106;7817;2015-02-09;72;108.57;6;A;LIQUIDADO;CONSIGNADO;Hugo Yago Guilherme Freitas;26;73216788067;217307875;02/01/1996 00:00;Masculino;Aquário;Lara Larissa Flávia;Henrique Anthony Luan Freitas;hugo_freitas@renatoseguros.com;ScMct6OcTd;94425200;Rua João Domingues de Arruda;558;Estalagem;Viamão;RS;5125453315;51988033771;1,89;83;AB+;azul
;7;107;44;2015-02-09;60;153.53;7;B;LIQUIDADO;EMPRESTIMO;Luzia Sophia Malu Barbosa;60;15358828087;256021247;03/01/1962 00:00;Feminino;Peixes;Liz Rayssa Giovana;Levi Murilo Barbosa;luzia_sophia_barbosa@grupompe.com.br;u09aNkiWI5;96213520;Rua Oito;644;Santa Rita de Cássia;Rio Grande;RS;5328843132;53994873495;1,83;61;A-;preto
;8;108;629;2015-02-09;12;52.42;8;B;LIQUIDADO;EMPRESTIMO;Cauã Anderson Felipe Castro;76;38637608086;444754994;01/02/1946 00:00;Masculino;Capricórnio;Antônia Isabel Sara;Arthur Pedro Isaac Castro;caua_anderson_castro@operaconstrutora.com.br;CpA7gec5SF;97015580;Rua Roberto Severo Neto;234;Nossa Senhora de Fátima;Santa Maria;RS;5539721817;55989753127;1,87;70;B+;amarelo
;9;109;9342;2015-02-09;60;155.70;9;B;LIQUIDADO;EMPRESTIMO;Yasmin Nicole Laura Duarte;44;24855153010;400409434;02/09/1978 00:00;Feminino;Aquário;Cristiane Jéssica Isabela;Marcos Yuri Duarte;yasmin-duarte72@nine9.com.br;2CNRwPNAuF;96823264;Rua Londres;323;Jardim Europa;Santa Cruz do Sul;RS;5127562107;51992630131;1,76;47;A-;azul
;10;110;3577;2015-02-09;36;99.36;10;B;LIQUIDADO;EMPRESTIMO;Nair Giovanna Almada;74;69837388021;427001845;03/04/1948 00:00;Feminino;Peixes;Lorena Isabela;Miguel Theo Almada;nair_giovanna_almada@oticascarol.com.br;EB2szj4gft;97573730;Rua dos Andradas;791;Centro;Santana do Livramento;RS;5527157418;55991224157;1,72;60;O+;vermelho
